"id","id_name","Heading_date","Plant_height","Num_panicles","Num_effective_panicles","Yield","Grain_weight","Spikelet_length","Grain_length","Grain_width","Grain_thickness"
"369","W167","107","135.19999695","7","7","45.930000305","23.920000076","27.819999694824","8.4300003052","2.9100000858","1.960000038147"
"370","W168","112","101.40000153","14","14","42.13999939","26.620000839","24.520000457764","9.1199998856","2.9600000381","2.0599999427795"
"371","W169","98","93.599998474","22.799999237","22.799999237060547","47.840000153","21.340000153","23.680000305176","9.1199998856","2.7400000095","1.8899999856949"
"372","W170","95","90.599998474","16.200000763","16.200000762939453","36.13999939","24.829999924","22.319999694824","9.6300001144","2.8699998856","1.8099999427795"
"373","W171","89","96.800003052","19","19","36.340000153","21.850000381","25.940000534058","7.9899997711","3.0299999714","1.960000038147"
"374","W172","96","100.19999695","17","17","40.939998627","24.920000076","25.780000686646","10.760000229","2.5","1.9400000572205"
"375","W173","93","121.59999847","12","11.800000190734863","35.229999542","25.350000381","26.549999237061","10.449999809","2.5999999046","1.9199999570847"
"376","W174","97","84","17","17","41.869998932","19.809999466","22.489999771118","7.9600000381","2.8499999046","1.8799999952316"
"377","W175","87","101","23.600000381","22","32.069999695","24.38999939","20.020000457764","9.779999733","2.7599999905","2.0299999713898"
"378","W176","105","101.40000153","17.399999619","17.200000762939453","49.180000305","23.11000061","23.89999961853","8.3100004196","2.8599998951","1.9500000476837"
"379","W177","102","100","15.399999619","13.800000190734863","39.950000763","22.86000061","24.440000534058","8.3299999237","2.8599998951","1.9500000476837"
"380","W178","119","97.800003052","21.200000763","20.399999618530273","30.930000305","15.949999809","19.969999313354","7.9400000572","2.6099998951","1.75"
"381","W179","96","93.800003052","27","27","38.470001221","19.100000381","21.790000915527","8.7299995422","2.4500000477","1.7699999809265"
"382","W180","91","108","13.800000191","13.800000190734863","37.700000763","24.069999695","25.079999923706","8.279999733","2.9800000191","2.0299999713898"
"383","W181","107","105.80000305","27.399999619","27.399999618530273","67.620002747","24.63999939","29.010000228882","9.2899999619","2.7300000191","2.0099999904633"
"384","W182","100","101.19999695","21.799999237","21.600000381469727","50.029998779","21.86000061","22.639999389648","8.3400001526","2.8699998856","1.8799999952316"
"385","W183","110","96.599998474","24.200000763","23.200000762939453","41.200000763","22.309999466","23.540000915527","9.2399997711","2.6199998856","1.8799999952316"
"386","W184","94","98","20.799999237","20.799999237060547","45.159999847","23.129999161","23.64999961853","9.1999998093","2.6500000954","1.8799999952316"
"387","W185","112","95.599998474","17.799999237","17.600000381469727","43.830001831","25.120000839","24.909999847412","9.8699998856","2.6400001049","1.9800000190735"
"388","W186","92","98.199996948","-9","-9","-9","-9","-9","-9","-9","-9"
"389","W187","92","105.19999695","-9","-9","-9","-9","-9","-9","-9","-9"
"390","W188","92","102","24.200000763","22.600000381469727","51.459999084","20.959999084","27.60000038147","9.9399995804","2.5099999905","1.8600000143051"
"391","W189","96","114.19999695","16.799999237","16.799999237060547","47.599998474","23.729999542","27.329999923706","8.9099998474","2.7200000286","1.9099999666214"
"392","W191","114","121","14.600000381","14.399999618530273","29.170000076","23.25","27.879999160767","10.970000267","2.4300000668","1.7799999713898"
"393","W192","112","121.19999695","16.799999237","16.600000381469727","36.020000458","22.13999939","26.879999160767","9.3299999237","2.8900001049","2"
"394","W193","101","121.40000153","12.800000191","12.600000381469727","43.009998322","28.620000839","23.729999542236","9.1300001144","3.0199999809","2.039999961853"
"395","W194","85","108.80000305","15.600000381","15.600000381469727","53.240001678","20.549999237","23.040000915527","9.4200000763","2.5499999523","1.8500000238419"
"396","W195","98","123.80000305","14","14","68.190002441","26.170000076","27.799999237061","10.859999657","2.3699998856","1.8099999427795"
"397","W197","94","112.80000305","19.600000381","19.600000381469727","64.980003357","19.13999939","27.510000228882","8.6000003815","2.5399999619","1.7400000095367"
"398","W198","108","180","16.200000763","15.800000190734863","39.959999084","29.079999924","29.85000038147","8.720000267","3.3099999428","2.1900000572205"
"399","W199","116","125.19999695","15","15","48.369998932","31.149999619","29.409999847412","9.970000267","2.9600000381","2.0599999427795"
"400","W200","101","115.40000153","17.799999237","17.799999237060547","48.880001068","24.420000076","24.180000305176","9.7600002289","2.5799999237","1.8899999856949"
"401","W201","98","108.19999695","18","17.399999618530273","51.029998779","25.129999161","25.969999313354","10.069999695","2.5999999046","1.8999999761581"
